Country,Capital,Languages,Religion,Currency,Time Zone,Calling code
Afghanistan,Kabul 34°31′N 69°11′E Coordinates: 34°31′N 69°11′E [4],PashtoDari,99.7% Islam (official) 0.3% Others (2009 estimate)[10],Afghani (افغانی) (AFN),UTC+4:30 Solar Calendar (D†),93
Albania,Tirana 41°19′N 19°49′E,GreekAromanianMacedonian,59% Islam 17% Christianity 9% No religion 15% Undeclared[1],Lek (ALL),UTC+1 (CET),355
Algeria,Algiers 36°42′N 3°13′E,Algerian Arabic (Darja) (lingua franca) French[3][a] (lingua franca),99% Sunni Islam (official) 1% other (inc. Christians and Jews)[3],Algerian dinar (DZD),UTC+1 (CET),213
Andorra,Andorra la Vella 42°30′N 1°31′E Coordinates: 42°30′N 1°31′E,Catalan[1][b],Christianity (Catholicism),Euro (€)[e] (EUR),UTC+01 (CET),376
Angola,Luanda 8°50′S 13°20′E,Kimbundu Umbundu Chokwe Kikongo,93.4% Christianity —56.4% Roman Catholic —23.4% Protestant —13.6% Other Christian 4.5% Traditional faiths 1.1% Others 1.0% No religion,Kwanza (AOA),UTC+1 (WAT),244
Antigua and Barbuda,St. John's 17°7′N 61°51′W,Antiguan,76.5% Christianity 12.1% Other 5.9% No religion 5.5% Unspecified,East Caribbean dollar (XCD),UTC-4 (AST),-267
Argentina,Buenos Aires 34°36′S 58°23′W,"Guaraní in Corrientes[3] Quechua in Santiago del Estero[4] Qom, Mocoví, and Wichí in Chaco[5] Welsh in Chubut[6]",79.6% Christianity —62.9% Roman Catholic —15.3% Protestant —1.4% Other Christian 19.2% No religion 1.2% Other,Argentine peso ($) (ARS),UTC−3 (ART),54
Armenia,Yerevan 40°11′N 44°31′E Coordinates: 40°11′N 44°31′E,Armenian[1],Christianity (Armenian Apostolic Church)[4],Dram (֏) (AMD),UTC+4 (AMT),374
Australia,Canberra 35°18′29″S 149°07′28″E,None at the federal level,43.9% Christianity 38.9% No religion 3.2% Islam 2.7% Hinduism 2.4% Buddhism 1.7% Others 7.2% Unanswered,Australian dollar ($) (AUD),UTC+8; +9.5; +10 (Various[N 3]),61
Austria,Vienna 48°12′N 16°21′E,Hungarian Slovene Burgenland Croatian[1][2],64.1% Christianity —55.2% Catholicism —5.1% Orthodoxy —3.8% Other Christian 26.4% No religion 8.3% Islam 1.2% Others,Euro (€) (EUR),UTC+1 (CET),43
Azerbaijan,Baku 40°23′43″N 49°52′56″E,See full list,96.9% Islam 3.0% Christianity 0.1% Other[3],Manat (₼) (AZN),UTC+4 (AZT),994
"Bahamas, The",Nassau 25°04′41″N 77°20′19″W,English,95.8% Christianity —80.0% Protestantism —15.8% Other Christian 3.1% No religion 1.1% Others,Bahamian dollar (BSD) United States dollar (USD),UTC−5 (EST),+1 242
Bahrain,Manama 26°13′N 50°35′E,English[2][3],69.7% Islam (official) 14.1% Christianity 10.2% Hinduism 3.1% Buddhism 2.0% No religion 0.9% Others,Bahraini dinar (BHD),UTC+3 (AST),973
Bangladesh,Dhaka 23°45′50″N 90°23′20″E,Bangladeshi,91.04% Islam (official) 7.95% Hinduism 0.61% Buddhism 0.30% Christianity 0.12% Others,Taka (৳) (BDT),UTC+6 (BST),880
Barbados,Bridgetown 13°05′52″N 59°37′06″W,Bajan Creole,75.6% Christianity 20.6% No religion 2.5% Others 1.3% Unspecified[1],Barbadian dollar ($) (BBD),UTC−4 (AST),-245
Belarus,Minsk 53°55′N 27°33′E,BelarusianRussiana,55.4% Christianity —48.3% Eastern Orthodoxy —7.1% Other Christian 41.1% No religion 2.4% Other 1.1% Unspecified,Belarusian rubel (BYN),UTC+3 (MSK[9]),375
Belgium,Brussels 50°51′N 4°21′E,Dutch French German,60% Christianity —54% Roman Catholic —6% Other Christian 31% No religion 7% Islam 2% Others,Euro (€) (EUR),UTC+1 (CET),32
Belize,Belmopan 17°15′N 88°46′W,SpanishBelizean CreoleMayanGermanGarifunaChinese[1],74.3% Christianity 15.6% No religion (atheist) 9.6% Other 0.3% N/A,Belize dollar (BZD),UTC-6 (CST (GMT-6)[10]),501
Bolivia,La Paz (executive and legislative) Sucre (constitutional and judicial),Spanish Quechua Aymara Guarani and 33 others (all Indigenous languages),89.3% Christianity —70.1% Roman Catholic —17.3% Protestant —1.9% Other Christian 10.1% No religion 0.6% Other,Boliviano (BOB),UTC−4 (BOT),591
Bosnia and Herzegovina,Sarajevo[1] 43°52′N 18°25′E,BosnianSerbianCroatian,None,Convertible mark (BAM),UTC+01 (CET),387
Botswana,Gaborone 24°39.5′S 25°54.5′E,English[1],73% Christianity —66% Protestantism —7% Other Christian 20% No religion 6% Traditional faiths 1% Others[a],Pula (BWP),UTC+2 (Central Africa Time[15]),267
Brazil,Brasília 15°47′S 47°52′W,Brazilian,88.8% Christianity —64.6% Roman Catholic —22.2% Protestant —2.0% Other Christian 8.0% No religion 2.0% Spiritism 1.2% Other,Real (R$) (BRL),UTC−2 to −5 (BRT),55
Brunei,Bandar Seri Begawan 4°53.417′N 114°56.533′E,"Brunei MalayTutongKedayanBelaitChinese (Hokkien, Hakka Chinese, Standard Chinese and Cantonese)Indigenous languagesMurutDusunBrunei Bisaya",80.9% Sunni Islam (official) 7.1% Christianity 7% Buddhist 5% other (includes indigenous beliefs),Brunei dollar (BND),UTC+8 (Brunei Darussalam Time),+673[c]
Brunswick and Lüneburg,Braunschweig Lüneburg,West Low German,None,"Goldgulden, thaler, pfennig",None,None
Bulgaria,Sofia 42°41′N 23°19′E Coordinates: 42°41′N 23°19′E,Bulgarian[1],61.1% Christianity —59.5% Bulgarian Orthodoxy —1.6% Other Christian 9.3% No religion 7.9% Islam 0.3% Others 21.5% No answer[2],Lev (BGN),UTC+2 (EET),359
Burma,Naypyidaw[a] 19°45′N 96°6′E,ChinKachinKarenKayahMonRakhineShanKedah Malay,87.9% Buddhism (official)[3] 6.2% Christianity 4.3% Islam 1.6% Others[4],Kyat (K) (MMK),UTC+06:30 (MMT),95
Burundi,Gitega (political) Bujumbura (economic)[a] 3°30′S 30°00′E,Kirundi French English,91.5% Christianity —65.3% Roman Catholic —26.2% Other Christian 5.5% Traditional faiths 2.1% Islam 0.2% Others/None,Burundian franc (FBu) (BIF),UTC+2 (CAT),257
Cabo Verde,Praia 14°55′N 23°31′W,Cape Verdean Creole[1],85.3% Christianity —77.3% Catholicism —8.0% Other Christian 10.8% No religion 3.9% Others[2],Cape Verdean escudo (CVE),UTC–1 (CVT),238
Cambodia,Phnom Penh 11°33′N 104°55′E Coordinates: 11°33′N 104°55′E,Cambodian,97.1% Buddhism (official[3]) 2.0% Islam 0.3% Christianity 0.5% Others[4],Riel (៛) (KHR; de jure) United States dollar ($) (USD; de facto) [9][10],UTC+07:00 (ICT),855
Cameroon,Yaoundé[1] 3°52′N 11°31′E,Cameroonian Pidgin English Fula Ewondo Chadian Arabic Camfranglais,70.7% Christianity 24.4% Islam 2.3% Traditional faiths 2.1% No religion 0.5% Others,Central African CFA franc (XAF),UTC+1 (WAT),237
Canada,Ottawa 45°24′N 75°40′W,EnglishFrench,See below,Canadian dollar ($) (CAD),UTC−3.5 to −8,1
Central African Republic,Bangui 4°22′N 18°35′E,show List,89% Christianity 9% Islam 1% Traditional faiths 1% Others / None,Central African CFA franc (XAF) Bitcoin (BTC)[7],UTC+1 (WAT),236
Chad,N'Djamena 12°06′N 16°02′E,ArabicFrench,51.8% Islam 44.1% Christianity 2.9% No religion 0.7% Animism 0.5% Others,Central African CFA franc (XAF),UTC+1 (WAT),235
Chile,Santiagoa 33°26′S 70°40′W,Chile,63% Christianity —45% Roman Catholic —15% Protestant —3% Other Christian 36% No religion 1% Other,Chilean peso (CLP),UTC−4 and −6 (CLT and EASTc),56
China,Beijing 39°55′N 116°23′E,MongolianUyghurTibetanZhuangOthers,74.5% No religion / Folk 18.3% Buddhism 5.2% Christianity 1.6% Islam 0.4% Others,Renminbi (元/¥)[h] (CNY),UTC+8 (CST),+86 (Mainland) +852 (Hong Kong) +853 (Macau)
Colombia,Bogotá 4°35′N 74°4′W,English (in San Andrés and Providencia) 64 other languages [a],88.6% Christianity —73.7% Roman Catholic —14.1% Protestant —0.8% Other Christian 10.3% No religion 1.1% Other,Colombian peso (COP),UTC−5[b] (COT),57
Comoros,Moroni 11°41′S 43°16′E,ComorianFrenchArabic,98% Islam (Official) 2% Christianity,Comorian franc (KMF),UTC+3 (EAT),269
Costa Rica,San José 9°56′N 84°5′W,MekatelyuBribriPatois,72.6% Christianity —47.5% Roman Catholic (official)[3] —22.5% Protestant —2.6% Other Christian 27.0% No religion 0.4% Others,Costa Rican colón (CRC),UTC−6 (CST),506
Croatia,Zagreb[b] 45°48′N 16°0′E,Croatian[c],91.06% Christianity —86.28% Catholicism —4.44% Orthodoxy —0.34% Protestantism 4.57% No religion 4.37% Others,Croatian kuna (HRK),UTC+1 (CET),385
Pakistan,Islamabad 33°41′30″N 73°03′00″E,Punjabi (39%) Pashto (18%) Sindhi (15%) Saraiki (12%) Balochi (3%) Hindko (2%) Pothwari (1%) Brahui (1%) Kashmiri (0.17%) Balti Burushaski Dameli Domaaki Gawar-Bati Kalasha Khowar Kohistani Kutchi Memoni Shina Wakhi Yidgha,96.5% Islam (official)[4] 2.1% Hinduism 1.3% Christianity 0.1% Others,Pakistani rupee (₨) (PKR),UTC+05:00 (PKT),92
India,New Delhi 28°36′50″N 77°12′30″E,447 languages[c],79.8% Hinduism 14.2% Islam 2.3% Christianity 1.7% Sikhism 0.7% Buddhism 0.4% Jainism 0.23% Unaffiliated 0.65% Others[15],Indian rupee (₹) (INR),UTC+05:30 (IST),91
